date	location	cases
2022-02-11	Florida	8896
2022-02-12	Florida	5190
2022-02-13	Florida	4175
2022-02-14	Florida	5979
2022-02-15	Florida	6399
2022-02-16	Florida	6439
2022-02-17	Florida	5300
2022-02-18	Florida	5417
2022-02-19	Florida	3019
2022-02-20	Florida	3106
2022-02-21	Florida	3676
2022-02-22	Florida	3933
2022-02-23	Florida	3511
2022-02-24	Florida	2909
2022-02-25	Florida	2719
2022-02-26	Florida	1383
2022-02-27	Florida	1828
2022-02-28	Florida	2133
2022-03-01	Florida	1755
2022-03-02	Florida	2320
2022-03-03	Florida	1967
2022-03-04	Florida	1749
2022-03-05	Florida	1601
2022-03-06	Florida	813
2022-03-07	Florida	1577
2022-03-08	Florida	1631
2022-03-09	Florida	1535
2022-03-10	Florida	1362
2022-03-11	Florida	1223
2022-03-12	Florida	772
2022-03-13	Florida	670
2022-03-14	Florida	1200
2022-03-15	Florida	1260
2022-03-16	Florida	1528
2022-03-17	Florida	1386
2022-03-18	Florida	1245
2022-03-19	Florida	957
2022-03-20	Florida	665
2022-03-21	Florida	857
2022-03-22	Florida	1965
2022-03-23	Florida	1636
2022-03-24	Florida	1421
2022-03-25	Florida	1441
2022-03-26	Florida	1071
2022-03-27	Florida	836
2022-03-28	Florida	1475
2022-03-29	Florida	1341
2022-03-30	Florida	2358
2022-03-31	Florida	1592
2022-04-01	Florida	1650
2022-04-02	Florida	1125
2022-04-03	Florida	987
2022-04-04	Florida	1482
2022-04-05	Florida	2169
2022-04-06	Florida	1740
2022-04-07	Florida	2152
2022-04-08	Florida	2071
2022-04-09	Florida	1564
2022-04-10	Florida	1445
2022-04-11	Florida	2144
2022-04-12	Florida	2563
2022-04-13	Florida	2937
2022-04-14	Florida	2880
2022-04-15	Florida	2765
2022-04-16	Florida	2213
2022-04-17	Florida	1809
2022-04-18	Florida	3084
2022-04-19	Florida	3534
2022-04-20	Florida	3791
2022-04-21	Florida	3588
2022-04-22	Florida	3565
2022-04-23	Florida	2889
2022-04-24	Florida	2512
2022-04-25	Florida	3648
2022-04-26	Florida	4594
2022-04-27	Florida	4670
2022-04-28	Florida	4655
2022-04-29	Florida	4805
2022-04-30	Florida	3313
2022-05-01	Florida	2917
2022-05-02	Florida	5019
2022-05-03	Florida	4438
2022-05-04	Florida	6455
2022-05-05	Florida	6010
2022-05-06	Florida	5493
2022-05-07	Florida	1174
2022-05-08	Florida	91
2022-05-09	Florida	13394
2022-05-10	Florida	7732
2022-05-11	Florida	7823
2022-05-12	Florida	3659
2022-05-13	Florida	12314
2022-05-14	Florida	5957
2022-05-15	Florida	5333
2022-05-16	Florida	8461
2022-05-17	Florida	9340
2022-05-18	Florida	10264
2022-05-19	Florida	8464
2022-05-20	Florida	9323
2022-05-21	Florida	6950
2022-05-22	Florida	6442
2022-05-23	Florida	9540
2022-05-24	Florida	12072
2022-05-25	Florida	11388
2022-05-26	Florida	11101
2022-05-27	Florida	11267
2022-05-28	Florida	8561
2022-05-29	Florida	6935
2022-05-30	Florida	7792
2022-05-31	Florida	9999
2022-06-01	Florida	13141
2022-06-02	Florida	14013
2022-06-03	Florida	11158
2022-06-04	Florida	7526
2022-06-05	Florida	7946
2022-06-06	Florida	11773
2022-06-07	Florida	11888
2022-06-08	Florida	12181
2022-06-09	Florida	11928
2022-06-10	Florida	10719
2022-06-11	Florida	8508
2022-06-12	Florida	7181
2022-06-13	Florida	9751
2022-06-14	Florida	13362
2022-06-15	Florida	12747
2022-06-16	Florida	12041
2022-06-17	Florida	10861
2022-06-18	Florida	8737
2022-06-19	Florida	6788
2022-06-20	Florida	10959
2022-06-21	Florida	12124
2022-01-23	Georgia	21393
2022-01-24	Georgia	21393
2022-01-25	Georgia	16232
2022-01-26	Georgia	17332
2022-01-27	Georgia	21708
2022-01-28	Georgia	18785
2022-01-29	Georgia	7178
2022-01-30	Georgia	7178
2022-01-31	Georgia	7178
2022-02-01	Georgia	10226
2022-02-02	Georgia	8020
2022-02-03	Georgia	8029
2022-02-04	Georgia	8798
2022-02-05	Georgia	3935
2022-02-06	Georgia	3935
2022-02-07	Georgia	3935
2022-02-08	Georgia	4574
2022-02-09	Georgia	5447
2022-02-10	Georgia	4889
2022-02-11	Georgia	4292
2022-02-12	Georgia	2137
2022-02-13	Georgia	2137
2022-02-14	Georgia	2137
2022-02-15	Georgia	2867
2022-02-16	Georgia	3115
2022-02-17	Georgia	2414
2022-02-18	Georgia	2969
2022-02-19	Georgia	1222
2022-02-20	Georgia	1222
2022-02-21	Georgia	1222
2022-02-22	Georgia	1293
2022-02-23	Georgia	2080
2022-02-24	Georgia	2157
2022-02-25	Georgia	1560
2022-02-26	Georgia	798
2022-02-27	Georgia	798
2022-02-28	Georgia	798
2022-03-01	Georgia	1469
2022-03-02	Georgia	1398
2022-03-03	Georgia	1166
2022-03-04	Georgia	1295
2022-03-05	Georgia	585
2022-03-06	Georgia	585
2022-03-07	Georgia	585
2022-03-08	Georgia	916
2022-03-09	Georgia	1221
2022-03-10	Georgia	1212
2022-03-11	Georgia	1027
2022-03-12	Georgia	407
2022-03-13	Georgia	407
2022-03-14	Georgia	407
2022-03-15	Georgia	1249
2022-03-16	Georgia	1382
2022-03-17	Georgia	1051
2022-03-18	Georgia	1099
2022-03-19	Georgia	313
2022-03-20	Georgia	313
2022-03-21	Georgia	313
2022-03-22	Georgia	454
2022-03-23	Georgia	475
2022-03-24	Georgia	728
2022-03-25	Georgia	623
2022-03-26	Georgia	377
2022-03-27	Georgia	377
2022-03-28	Georgia	377
2022-03-29	Georgia	598
2022-03-30	Georgia	539
2022-03-31	Georgia	928
2022-04-01	Georgia	478
2022-04-02	Georgia	337
2022-04-03	Georgia	337
2022-04-04	Georgia	337
2022-04-05	Georgia	417
2022-04-06	Georgia	504
2022-04-07	Georgia	475
2022-04-08	Georgia	415
2022-04-09	Georgia	392
2022-04-10	Georgia	392
2022-04-11	Georgia	392
2022-04-12	Georgia	503
2022-04-13	Georgia	583
2022-04-14	Georgia	513
2022-04-15	Georgia	778
2022-04-16	Georgia	505
2022-04-17	Georgia	505
2022-04-18	Georgia	505
2022-04-19	Georgia	505
2022-04-20	Georgia	505
2022-04-21	Georgia	854
2022-04-22	Georgia	854
2022-04-23	Georgia	854
2022-04-24	Georgia	854
2022-04-25	Georgia	854
2022-04-26	Georgia	854
2022-04-27	Georgia	854
2022-04-28	Georgia	932
2022-04-29	Georgia	932
2022-04-30	Georgia	932
2022-05-01	Georgia	932
2022-05-02	Georgia	932
2022-05-03	Georgia	932
2022-05-04	Georgia	932
2022-05-05	Georgia	1322
2022-05-06	Georgia	1322
2022-05-07	Georgia	1322
2022-05-08	Georgia	1322
2022-05-09	Georgia	1322
2022-05-10	Georgia	1322
2022-05-11	Georgia	1322
2022-05-12	Georgia	1542
2022-05-13	Georgia	1542
2022-05-14	Georgia	1542
2022-05-15	Georgia	1542
2022-05-16	Georgia	1542
2022-05-17	Georgia	1542
2022-05-18	Georgia	1542
2022-05-19	Georgia	2047
2022-05-20	Georgia	2047
2022-05-21	Georgia	2047
2022-05-22	Georgia	2047
2022-05-23	Georgia	2047
2022-05-24	Georgia	2047
2022-05-25	Georgia	2047
2022-05-26	Georgia	2151
2022-05-27	Georgia	2151
2022-05-28	Georgia	2151
2022-05-29	Georgia	2151
2022-05-30	Georgia	2151
2022-05-31	Georgia	2151
2022-06-01	Georgia	2151
2022-06-02	Georgia	2536
2022-06-03	Georgia	2536
2022-06-04	Georgia	2536
2022-06-05	Georgia	2536
2022-06-06	Georgia	2536
2022-06-07	Georgia	2536
2022-06-08	Georgia	2536
2022-06-09	Georgia	2759
2022-06-10	Georgia	2759
2022-06-11	Georgia	2759
2022-06-12	Georgia	2759
2022-06-13	Georgia	2759
2022-06-14	Georgia	2759
2022-06-15	Georgia	2759
2022-06-16	Georgia	0
2022-06-17	Georgia	0
2022-06-18	Georgia	0
2022-06-19	Georgia	0
2022-06-20	Georgia	0
2022-06-21	Georgia	0
2022-01-23	Illinois	32250
2022-01-24	Illinois	32250
2022-01-25	Illinois	13706
2022-01-26	Illinois	15732
2022-01-27	Illinois	14422
2022-01-28	Illinois	15453
2022-01-29	Illinois	7932
2022-01-30	Illinois	7932
2022-01-31	Illinois	7932
2022-02-01	Illinois	8665
2022-02-02	Illinois	9463
2022-02-03	Illinois	8394
2022-02-04	Illinois	10070
2022-02-05	Illinois	4651
2022-02-06	Illinois	4651
2022-02-07	Illinois	4651
2022-02-08	Illinois	5825
2022-02-09	Illinois	4742
2022-02-10	Illinois	5419
2022-02-11	Illinois	3567
2022-02-12	Illinois	3567
2022-02-13	Illinois	3567
2022-02-14	Illinois	3567
2022-02-15	Illinois	2893
2022-02-16	Illinois	3323
2022-02-17	Illinois	2538
2022-02-18	Illinois	3184
2022-02-19	Illinois	1560
2022-02-20	Illinois	1560
2022-02-21	Illinois	1560
2022-02-22	Illinois	1560
2022-02-23	Illinois	2733
2022-02-24	Illinois	1979
2022-02-25	Illinois	2074
2022-02-26	Illinois	1494
2022-02-27	Illinois	1494
2022-02-28	Illinois	1494
2022-03-01	Illinois	1841
2022-03-02	Illinois	1640
2022-03-03	Illinois	1169
2022-03-04	Illinois	1329
2022-03-05	Illinois	869
2022-03-06	Illinois	869
2022-03-07	Illinois	869
2022-03-08	Illinois	1055
2022-03-09	Illinois	1634
2022-03-10	Illinois	1398
2022-03-11	Illinois	1825
2022-03-12	Illinois	775
2022-03-13	Illinois	775
2022-03-14	Illinois	775
2022-03-15	Illinois	1574
2022-03-16	Illinois	1031
2022-03-17	Illinois	1150
2022-03-18	Illinois	1388
2022-03-19	Illinois	817
2022-03-20	Illinois	817
2022-03-21	Illinois	817
2022-03-22	Illinois	1442
2022-03-23	Illinois	1114
