date	location	cases
2021-12-16	Norway	4520
2021-12-17	Norway	4689
2021-12-18	Norway	3705
2021-12-19	Norway	3022
2021-12-20	Norway	4041
2021-12-21	Norway	4799
2021-12-22	Norway	4290
2021-12-23	Norway	4312
2021-12-24	Norway	2268
2021-12-25	Norway	1989
2021-12-26	Norway	2214
2021-12-27	Norway	3750
2021-12-28	Norway	4702
2021-12-29	Norway	4407
2021-12-30	Norway	4018
2021-12-31	Norway	3045
2022-01-01	Norway	2156
2022-01-02	Norway	2903
2022-01-03	Norway	5233
2022-01-04	Norway	7921
2021-10-15	Portugal	766
2021-10-16	Portugal	612
2021-10-17	Portugal	465
2021-10-18	Portugal	291
2021-10-19	Portugal	832
2021-10-20	Portugal	927
2021-10-21	Portugal	865
2021-10-22	Portugal	930
2021-10-23	Portugal	883
2021-10-24	Portugal	604
2021-10-25	Portugal	313
2021-10-26	Portugal	829
2021-10-27	Portugal	965
2021-10-28	Portugal	888
2021-10-29	Portugal	844
