seqName	clade	Nextclade_pango	partiallyAliased
AY.129	recombinant	XBA	XBA
AY.131	recombinant	XBA	XBA
AY.132	recombinant	XBA	XBA
AY.133	recombinant	XBC	XBC
AY.134	recombinant	XBA	XBA
B.1.617.2	recombinant	XBA	XBA
BA.1	recombinant	XP	XP
BA.1.1	recombinant	XP	XP
BA.1.1.1	recombinant	XP	XP
BA.1.1.2	recombinant	XP	XP
BA.1.1.3	recombinant	XP	XP
BA.1.1.4	recombinant	XP	XP
BA.1.1.5	recombinant	XP	XP
BA.1.1.6	recombinant	XP	XP
BA.1.1.7	recombinant	XP	XP
BA.1.1.8	recombinant	XP	XP
BA.1.1.9	recombinant	XP	XP
BA.1.1.10	recombinant	XP	XP
BA.1.1.11	recombinant	XP	XP
BA.1.1.12	recombinant	XP	XP
BA.1.1.13	recombinant	XP	XP
BA.1.1.14	recombinant	XP	XP
BA.1.1.15	recombinant	XP	XP
BA.1.1.16	recombinant	XP	XP
BA.1.1.17	recombinant	XP	XP
BA.1.1.18	recombinant	XP	XP
BA.1.2	recombinant	XP	XP
BA.1.3	recombinant	XP	XP
BA.1.4	recombinant	XP	XP
BA.1.5	recombinant	XP	XP
BA.1.6	recombinant	XP	XP
BA.1.7	recombinant	XP	XP
BA.1.8	recombinant	XP	XP
BA.1.9	recombinant	XP	XP
BA.1.10	recombinant	XP	XP
BA.1.12	recombinant	XP	XP
BA.1.13	recombinant	XP	XP
BA.1.13.1	recombinant	XP	XP
BA.1.14	recombinant	XP	XP
BA.1.14.1	recombinant	XP	XP
BA.1.14.2	recombinant	XP	XP
BA.1.15	recombinant	XP	XP
BA.1.15.1	recombinant	XP	XP
BA.1.15.2	recombinant	XP	XP
BA.1.15.3	recombinant	XP	XP
BA.1.16	recombinant	XP	XP
BA.1.16.1	recombinant	XP	XP
BA.1.16.2	recombinant	XP	XP
BA.1.17	recombinant	XP	XP
BA.1.17.1	recombinant	XP	XP
BA.1.17.2	recombinant	XP	XP
BA.1.18	recombinant	XP	XP
BA.1.19	recombinant	XP	XP
BA.1.20	recombinant	XP	XP
BA.1.21	recombinant	XP	XP
BA.1.21.1	recombinant	XP	XP
BA.1.22	recombinant	XP	XP
BA.1.23	recombinant	XP	XP
BA.1.24	recombinant	XP	XP
BA.2	21L (Omicron)	BA.2	BA.2
BA.2.1	21L (Omicron)	BA.2.1	BA.2.1
BA.2.2	21L (Omicron)	BA.2.2	BA.2.2
BA.2.2.1	21L (Omicron)	BA.2.2.1	BA.2.2.1
BA.2.3	21L (Omicron)	BA.2.3	BA.2.3
BA.2.3.1	21L (Omicron)	BA.2.3.1	BA.2.3.1
BA.2.3.2	21L (Omicron)	BA.2.3.2	BA.2.3.2
BA.2.3.4	21L (Omicron)	BA.2.3.4	BA.2.3.4
BA.2.3.5	21L (Omicron)	BA.2.3.5	BA.2.3.5
BA.2.3.6	21L (Omicron)	BA.2.3.6	BA.2.3.6
BA.2.3.7	21L (Omicron)	BA.2.3.7	BA.2.3.7
BA.2.3.8	21L (Omicron)	BA.2.3.8	BA.2.3.8
BA.2.3.9	21L (Omicron)	BA.2.3.9	BA.2.3.9
BA.2.3.10	21L (Omicron)	BA.2.3.10	BA.2.3.10
BA.2.3.11	21L (Omicron)	BA.2.3.11	BA.2.3.11
BA.2.3.12	21L (Omicron)	BA.2.3.12	BA.2.3.12
BA.2.3.13	21L (Omicron)	BA.2.3.13	BA.2.3.13
BA.2.3.14	21L (Omicron)	BA.2.3.14	BA.2.3.14
